UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
211149,1,999,"R",247,"R",80,"R",167,"R",0,"R",0,"R",0,"R",6,"R",2,"R",4,"R",73,"R",19,"R",54,"R",5,"R",2,"R",3,"R",0,"R",0,"R",0,"R",146,"R",51,"R",95,"R",0,"R",0,"R",0,"R",17,"R",6,"R",11,"R",0,"R",0,"R",0
211149,2,  1,"R",247,"R",80,"R",167,"R",0,"R",0,"R",0,"R",6,"R",2,"R",4,"R",73,"R",19,"R",54,"R",5,"R",2,"R",3,"R",0,"R",0,"R",0,"R",146,"R",51,"R",95,"R",0,"R",0,"R",0,"R",17,"R",6,"R",11,"R",0,"R",0,"R",0
211158,1,999,"R",10288,"R",4375,"R",5913,"R",21,"R",11,"R",10,"R",145,"R",66,"R",79,"R",825,"R",415,"R",410,"R",678,"R",278,"R",400,"R",10,"R",6,"R",4,"R",8092,"R",3371,"R",4721,"R",272,"R",101,"R",171,"R",155,"R",76,"R",79,"R",90,"R",51,"R",39
211158,2,  1,"R",9353,"R",4082,"R",5271,"R",21,"R",11,"R",10,"R",128,"R",60,"R",68,"R",785,"R",392,"R",393,"R",648,"R",267,"R",381,"R",7,"R",5,"R",2,"R",7289,"R",3132,"R",4157,"R",257,"R",99,"R",158,"R",134,"R",69,"R",65,"R",84,"R",47,"R",37
211158,4,  3,"R",935,"R",293,"R",642,"Z",0,"Z",0,"Z",0,"R",17,"R",6,"R",11,"R",40,"R",23,"R",17,"R",30,"R",11,"R",19,"R",3,"R",1,"R",2,"R",803,"R",239,"R",564,"R",15,"R",2,"R",13,"R",21,"R",7,"R",14,"R",6,"R",4,"R",2
211200,1,999,"R",376,"R",128,"R",248,"R",2,"Z",0,"R",2,"R",18,"R",6,"R",12,"R",50,"R",13,"R",37,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",268,"R",90,"R",178,"R",23,"R",12,"R",11,"R",15,"R",7,"R",8,"Z",0,"Z",0,"Z",0
211200,2,  1,"R",376,"R",128,"R",248,"R",2,"Z",0,"R",2,"R",18,"R",6,"R",12,"R",50,"R",13,"R",37,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",268,"R",90,"R",178,"R",23,"R",12,"R",11,"R",15,"R",7,"R",8,"Z",0,"Z",0,"Z",0
211273,1,999,"R",1738,"R",76,"R",1662,"R",0,"R",0,"R",0,"R",188,"R",5,"R",183,"R",102,"R",3,"R",99,"R",144,"R",4,"R",140,"R",2,"R",0,"R",2,"R",751,"R",48,"R",703,"R",89,"R",4,"R",85,"R",143,"R",11,"R",132,"R",319,"R",1,"R",318
211273,2,  1,"R",1419,"R",1,"R",1418,"R",0,"Z",0,"R",0,"R",176,"Z",0,"R",176,"R",82,"Z",0,"R",82,"R",133,"Z",0,"R",133,"R",1,"Z",0,"R",1,"R",531,"Z",0,"R",531,"R",80,"R",1,"R",79,"R",102,"Z",0,"R",102,"R",314,"R",0,"R",314
211273,4,  3,"R",319,"R",75,"R",244,"R",0,"R",0,"R",0,"R",12,"R",5,"R",7,"R",20,"R",3,"R",17,"R",11,"R",4,"R",7,"R",1,"R",0,"R",1,"R",220,"R",48,"R",172,"R",9,"R",3,"R",6,"R",41,"R",11,"R",30,"R",5,"R",1,"R",4
211291,1,999,"R",3832,"R",1877,"R",1955,"R",1,"R",1,"R",0,"R",195,"R",75,"R",120,"R",136,"R",73,"R",63,"R",258,"R",130,"R",128,"R",0,"R",0,"R",0,"R",2797,"R",1365,"R",1432,"R",155,"R",76,"R",79,"R",24,"R",7,"R",17,"R",266,"R",150,"R",116
211291,2,  1,"R",3742,"R",1842,"R",1900,"R",1,"R",1,"R",0,"R",194,"R",75,"R",119,"R",135,"R",73,"R",62,"R",254,"R",129,"R",125,"R",0,"R",0,"R",0,"R",2746,"R",1342,"R",1404,"R",152,"R",74,"R",78,"R",20,"R",6,"R",14,"R",240,"R",142,"R",98
211291,4,  3,"R",90,"R",35,"R",55,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",4,"R",1,"R",3,"R",0,"R",0,"R",0,"R",51,"R",23,"R",28,"R",3,"R",2,"R",1,"R",4,"R",1,"R",3,"R",26,"R",8,"R",18
211307,1,999,"R",13401,"R",5747,"R",7654,"R",62,"R",25,"R",37,"R",687,"R",321,"R",366,"R",676,"R",283,"R",393,"R",870,"R",361,"R",509,"R",16,"R",5,"R",11,"R",9385,"R",3982,"R",5403,"R",309,"R",145,"R",164,"R",1333,"R",597,"R",736,"R",63,"R",28,"R",35
