Country of Giftor,Institution Name,ID,OPEID,City,State,Foreign Gift Received Date,Foreign Gift Amount,Gift Type,Giftor Name,Country to merge on,Rank,Score,Electoral process and pluralism,Functioning of government,Political participation,Political culture,Civil liberties,Regime type,Region
Australia,Princeton University,11277,262700,Princeton,NJ,2016-05-01,79000,Monetary Gift,,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Princeton University,11309,262700,Princeton,NJ,2016-05-02,350000,Monetary Gift,,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Princeton University,11402,262700,Princeton,NJ,2014-11-01,650000,Monetary Gift,,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Princeton University,11414,262700,Princeton,NJ,2012-05-30,750000,Monetary Gift,,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Princeton University,11471,262700,Princeton,NJ,2015-06-15,1000000,Monetary Gift,,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Purdue University,11651,182500,West Lafayette,IN,2017-12-08,1500000,Monetary Gift,CollinStar Capital Pty Ltd,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Stanford University,4837,130500,Stanford,CA,2018-05-31,365200,Monetary Gift,,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Stanford University,5096,130500,Stanford,CA,2016-04-15,344975,Monetary Gift,,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Stanford University,6133,130500,Stanford,CA,2017-06-19,287975,Monetary Gift,,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
Australia,Stanford University,12233,130500,Stanford,CA,2015-08-16,50,Monetary Gift,,Australia,9.0,9.09,10.0,8.93,7.78,8.75,10.0,Full democracy,Asia & Australasia
